"排名","代號","名稱","成交","財報年度","市值(億)","現金(億)","應收帳款(億)","存貨(億)","速動資產(億)","流動資產(億)","投資(億)","固定資產(億)","無形資產(億)","其他資產(億)","資產總額(億)","流動負債(億)","長期負債(億)","其他負債(億)","負債總額(億)","股東權益(億)","每股淨值(元)","財報評分"
"280",="6182","合晶","46.2","2021","250","57.4","26.6","23.6","84.7","117","1.61","134","0.49","13.7","274","49.4","51.5","5.38","107","167","21.19","64"
"281",="3703","欣陸","30.3","2021","249","52.1","39.8","285","138","463","128","43.8","11.1","56.7","704","299","120","6.3","426","278","29.85","32"
"282",="4770","上品","317","2021","249","37.2","10.3","13.8","48.1","66.1","0.04","14.3","0.06","0.14","81.5","19.8","5.41","0.03","26.2","55.4","70.49","77"
"283",="6414","樺漢","234.5","2021","249","175","174","160","455","664","20.9","67","197","12.5","1,006","473","168","16.3","693","314","106.81","49"
"284",="6196","帆宣","126","2021","246","41.9","51.8","35.6","181","229","9.2","23.7","1.07","1.09","279","176","10.9","1.67","201","78","39.8","51"
"285",="00713","元大台灣高息低波","38.8","","244","","","","","","","","","","","","","","","","",""
"286",="1215","卜蜂","82.2","2021","242","1.87","28.7","18.8","30.5","69.7","26.8","125","0.04","1.22","232","70.1","71.3","1.03","146","85.9","30.33","43"
"287",="6719","力智","309.5","2021","242","11.6","10.4","13.1","22.7","36.4","2.92","4.74","0.33","2.57","47.5","15.2","3.01","0.04","18.4","29","41.05","68"
"288",="8070","長華*","34.95","2021","241","48","49.9","25.1","109","147","112","27.7","6.89","2.8","303","83.2","68","0.32","156","147","15.8","55"
"289","00779B","凱基美債25+","33.85","","240","","","","","","","","","","","","","","","","",""
"290",="9802","鈺齊-KY","128.5","2021","239","11.1","35.5","39","46.6","89","0.08","73.2","0.11","1.38","176","77.7","1.01","2.09","85.6","90.4","48.64","40"
"291",="1232","大統益","147.5","2021","236","19.3","11","24.6","30.3","58.6","0.38","8.52","0.01","0.33","70","18.4","","0.17","20.5","49.6","30.37","57"
"292",="8926","台汽電","39.75","2021","234","27.6","5.98","0.13","60","61.5","130","30.1","10.4","1.76","241","50.7","63","1.71","121","120","20.09","43"
"293",="2211","長榮鋼","55.8","2021","233","43.1","18.5","31.6","94.7","127","141","32.2","42.2","1.95","345","48.7","31.9","0.58","82","263","55.64","55"
"294",="2103","台橡","28.15","2021","232","44.6","47.6","56.3","92.3","155","50.4","102","8.93","1.55","328","85.5","22.9","1.55","127","201","21.83","60"
"295",="8436","大江","195.5","2021","231","47","10.6","8.86","65.8","78.2","8.35","46.1","4.49","8.69","147","44.5","9.68","0.12","54.7","92.4","68.95","70"
"296",="3454","晶睿","266.5","2021","231","9.95","6.72","21.4","16.8","39.2","2.11","9.79","1.28","0.24","53.5","20.5","3.35","0.04","23.9","29.5","33.55","45"
"297",="5009","榮剛","50.3","2021","230","12.3","21.9","53.5","34.9","89.6","11.1","84.7","","33.2","221","44.9","77","2.58","126","95.1","20.35","36"
"298","00696B","富邦美債20年","34","2021","230","","","","","","","","","","","","","","","","",""
"299",="00885","富邦越南","11.2","","229","","","","","","","","","","","","","","","","",""
"300",="2855","統一證","15.75","2021","229","57.6","168","","997","1,087","46.1","24.5","1.95","13.9","1,177","857","","0.69","859","318","21.76","64"
